DATE PM2p5 PM10
20170505 24 56
20170506 20 194
20170507 16 92
20170508 36 173
20170509 31 125
20170510 20 43
20170511 33 71
20170512 42 74
20170513 26 50
20170514 14 59
20170515 11 44
20170516 15 35
20170517 18 39
20170518 26 48
20170519 25 47
20170520 21 38
20170521 19 32
20170522 26 43
20170523 22 35
20170524 15 26
20170525 14 38
20170526 8 24
20170527 14 33
20170528 22 45
20170529 36 69
20170530 23 49
20170531 20 38
20170601 18 38
20170602 10 29
20170603 11 31
20170604 11 29
20170605 13 26
20170606 10 21
20170607 10 16
20170608 28 44
20170609 38 60
20170610 23 49
20170611 9 29
20170612 12 31
20170613 17 36
20170614 21 44
20170615 26 52
20170616 38 68
20170617 30 52
20170618 26 45
20170619 32 53
20170620 30 53
20170621 34 58
20170622 23 38
20170623 23 44
20170624 23 42
20170625 22 36
20170626 17 27
20170627 19 30
20170628 32 48
20170629 35 51
20170630 37 54
20170701 30 43
20170702 17 26
20170703 15 23
20170704 24 34
20170705 28 40
20170706 34 48
20170707 13 22
20170708 17 26
20170709 18 26
20170710 9 14
20170711 26 39
20170712 32 47
20170713 35 50
20170714 34 48
20170715 14 20
20170716 12 17
20170717 14 23
20170718 17 26
20170719 26 38
20170720 38 52
20170721 45 59
20170722 42 57
20170723 35 49
20170724 22 34
20170725 15 27
20170726 10 18
20170727 17 28
20170728 19 30
20170729 8 26
20170730 15 22
20170731 13 22
20170801 12 22
20170802 23 36
20170803 14 24
20170804 18 27
20170805 21 31
20170806 18 25
20170807 22 33
20170808 28 42
20170809 23 33
20170810 5 8
20170811 6 11
20170812 6 11
20170813 6 10
20170814 4 9
20170815 4 7
20170816 4 7
20170817 6 12
20170818 17 26
20170819 15 25
20170820 7 11
20170821 8 14
20170822 10 17
20170823 10 20
20170824 9 21
20170825 13 26
20170826 11 25
20170827 13 23
20170828 17 29
20170829 8 18
20170830 10 25
20170831 20 35
20170901 12 23
20170902 15 26
20170903 20 31
20170904 18 27
20170905 13 24
20170906 17 27
20170907 25 35
20170908 33 49
20170909 40 58
20170910 36 50
20170911 16 22
20170912 13 25
20170913 10 23
20170914 12 27
20170915 8 15
20170916 5 10
20170917 5 9
20170918 10 19
20170919 40 62
20170920 10 24
20170921 15 28
20170922 19 31
20170923 25 52
20170924 37 62
20170925 26 44
20170926 26 45
20170927 23 40
20170928 8 23
20170929 9 21
20170930 18 34
20171001 20 32
20171002 10 19
20171003 11 35
20171004 9 21
20171005 7 14
20171006 7 11
20171007 6 9
20171008 13 18
20171009 17 25
20171010 18 28
20171011 7 11
20171012 11 21
20171013 15 27
20171014 12 22
20171015 11 21
20171016 16 30
20171017 20 38
20171018 13 24
20171019 10 18
20171020 16 31
20171021 21 38
20171022 13 25
20171023 10 24
20171024 15 31
20171025 22 41
20171026 28 51
20171027 34 58
20171028 27 45
20171029 22 65
20171030 13 35
20171031 14 33
20171101 20 38
20171102 26 46
20171103 26 38
20171104 40 53
20171105 27 39
20171106 20 33
20171107 25 42
20171108 29 65
20171109 24 50
20171110 21 44
20171111 13 70
20171112 18 31
20171113 24 41
20171114 17 45
20171115 11 25
20171116 14 25
20171117 24 42
20171118 22 39
20171119 12 24
20171120 22 38
20171121 31 50
20171122 30 62
20171123 11 23
20171124 12 20
20171125 16 25
20171126 23 37
20171127 29 48
20171128 46 71
20171129 25 61
20171130 9 24
20171201 13 24
20171202 24 39
20171203 35 51
20171204 26 43
20171205 11 22
20171206 22 32
20171207 32 45
20171208 21 31
20171209 24 39
20171210 25 38
20171211 10 47
20171212 17 33
20171213 20 36
20171214 36 55
20171215 58 83
20171216 27 41
20171217 14 39
20171218 35 55
20171219 20 46
20171220 26 42
20171221 39 52
20171222 43 58
20171223 80 111
20171224 58 78
20171225 16 30
20171226 14 29
20171227 14 28
20171228 28 46
20171229 67 97
20171230 95 128
20171231 36 63
