DATE PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range
19970309 109 8.7 13.6 3.2 4.5 0 10.4
19970310 112 8.6 11.5 5.8 8.1 0.1 5.7
19970311 71 8.4 13.8 3.9 1.3 0 9.9
19970312 118 10.7 18.0 3.8 3.3 0 14.2
19970313 135 13.0 20.2 6.5 2.0 0 13.7
19970314 73 7.6 11.8 3.7 9.6 6.2 8.1
19970315 22 4.3 6.2 3.5 10.0 0.7 2.7
19970316 19 5.0 9.8 2.0 3.9 0 7.8
19970317 46 5.7 12.7 -0.1 0.0 0 12.8
19970318 83 6.3 11.6 1.3 1.1 0 10.3
19970319 78 9.0 15.7 1.7 1.0 0 14.0
19970320 73 10.2 16.4 4.9 1.6 0 11.5
19970321 122 8.4 12.6 6.1 3.1 0 6.5
19970322 121 8.2 13.6 3.6 1.4 0 10.0
19970323 49 5.1 8.7 1.8 1.8 0 6.9
19970324 55 5.0 11.0 0.2 0.0 0 10.8
19970325 81 6.5 12.9 0.9 4.6 0 12.0
19970326 82 8.7 14.9 4.8 4.6 0 10.1
19970327 105 9.5 15.7 4.3 0.0 0 11.4
19970328 123 11.2 17.2 5.2 0.0 0 12.0
19970329 101 8.0 14.1 2.6 5.5 0.1 11.5
19970330 87 2.4 6.9 -0.1 0.0 0 7.0
19970331 57 4.3 9.1 -1.4 0.0 0 10.5
19970401 85 10.3 17.6 2.7 6.6 2.2 14.9
19970402 45 9.9 12.6 8.2 8.9 22.8 4.4
19970403 31 13.0 17.6 8.4 6.6 0 9.2
19970404 56 11.2 13.1 9.7 9.4 0.8 3.4
19970405 113 11.6 14.4 10.0 10.0 3.3 4.4
19970406 71 9.2 10.8 7.8 8.8 20.8 3.0
19970407 101 11.6 18.4 6.4 4.9 0 12.0
19970408 95 11.8 16.9 8.5 7.6 0 8.4
19970409 62 10.0 14.3 6.8 0.6 0 7.5
19970410 62 10.2 15.5 5.6 1.1 0 9.9
19970411 75 11.6 17.4 6.6 0.5 0 10.8
19970412 62 12.3 18.6 7.0 0.0 0 11.6
19970413 85 14.0 21.3 6.8 0.3 0 14.5
